avgDegree,stdDev,minDegree,maxDegree,paths,components,smallest comp,biggest comp,EBS EBD rs,EBS EBD p-value,EBS EBD jcc,EBD ER rs,EBD ER p-value,EBD ER jcc,EBS ER rs,EBS ER p-value,EBS ER jcc
0.04,39.858,6.175259994526547,23,64,12924610,1,1000,1000,0.6038012924141598,0,0.19519519519519518,-0.14789826280806984,7.592118695643451e-98,0.01015228426395939,-0.31442974018952563,0,0
0.04,39.734,6.155423949656107,23,60,13021960,1,1000,1000,0.5991524952526004,0,0.20364741641337386,-0.13959173777498424,5.277663163232417e-87,0.005076142131979695,-0.30417138214702966,0,0
0.04,40.526,6.269874320909471,22,59,13035486,1,1000,1000,0.5890858024422791,0,0.14447592067988668,-0.11965647225797893,1.6656558923773972e-65,0.012531328320802004,-0.2614345386968473,7.1726756564e-314,0.004975124378109453
0.04,39.964,6.122965294691785,22,60,13021396,1,1000,1000,0.6012922795137078,0,0.14040114613180515,-0.1051592019274159,3.036455263082892e-50,0.028423772609819122,-0.2525567452835539,2.4636186648943375e-288,0.01015228426395939
0.04,40.28,6.229895665257966,21,63,12970944,1,1000,1000,0.5879640304907116,0,0.16521739130434782,-0.09300020565849731,6.208983641372608e-40,0.015151515151515152,-0.22843507308255573,1.0755432091953319e-236,0.005
0.04,39.838,6.22525148086405,21,58,12912956,1,1000,1000,0.6064755656382842,0,0.16374269005847952,-0.10938776330884403,4.454756404921792e-54,0.041884816753926704,-0.2598686512607334,8.672528242264439e-305,0.015306122448979591
0.05,49.722,6.9219011839233895,29,80,11208882,1,1000,1000,0.4287844704443955,0,0.16705882352941176,0.0043643523537796325,0.4913820527686381,0.0205761316872428,0.31976456104204165,0,0.048625792811839326
0.05,50.47,7.118785008693546,28,75,11118134,1,1000,1000,0.43822088802309606,0,0.18032786885245902,0.0454823332854174,4.883885584519145e-13,0.04132231404958678,0.371507090525338,0,0.1506849315068493
0.05,49.542,6.551353753232992,28,80,11382844,1,1000,1000,0.42171711991608324,0,0.1252847380410023,0.012767258073200227,0.044495322780254185,0.029166666666666667,0.3010542189521319,0,0.13302752293577982
0.05,49.564,6.904918826459867,30,73,11342980,1,1000,1000,0.4499649134894475,0,0.14351851851851852,0.05059992315089612,1.5829568192206204e-15,0.010224948875255624,0.3196631517514099,0,0.046610169491525424
0.05,50.306,6.970678876551411,28,76,11151144,1,1000,1000,0.42699167300993657,0,0.1409090909090909,0.029864713609008997,2.166118033369758e-06,0.024489795918367346,0.32980721640876,0,0.08423326133909287
0.05,49.638,6.676447857955606,28,70,11254970,1,1000,1000,0.42810195986773647,0,0.11711711711711711,0.02041611957535283,0.0012974720578908024,0.02268041237113402,0.2897668355818108,0,0.10714285714285714
0.05,49.79,6.801757125919745,26,75,11255606,1,1000,1000,0.42762662354531195,0,0.14022988505747128,0.038658818696900354,1.0499834498032561e-09,0.024793388429752067,0.3356721487720831,0,0.10222222222222223
0.05,49.78,6.92745263426607,26,72,11281078,1,1000,1000,0.43614411441792683,0,0.15081206496519722,0.030261444688586048,1.7964459139409954e-06,0.03549060542797495,0.31338257808073794,0,0.08771929824561403
0.05,49.848,6.910636439576319,30,71,11333510,1,1000,1000,0.4282527268469041,0,0.14220183486238533,0.00043105486239303215,0.9457468889454377,0.024691358024691357,0.29178552908358474,0,0.0641025641025641
0.05,49.618,6.964630356307499,27,71,11349880,1,1000,1000,0.4420114525942348,0,0.13761467889908258,0.02385155626069535,0.0001718433626631847,0.03765690376569038,0.3183681719033718,0,0.10467706013363029
0.06,59.784,7.561173453902509,37,88,8334018,1,1000,1000,0.3458824748464536,0,0.1037037037037037,0.09355316537672231,4.315616045309032e-59,0.025817555938037865,0.47456394642699684,0,0.0996309963099631
0.06,59.886,7.483381855818929,39,84,8351470,1,1000,1000,0.33934947783516084,0,0.09724770642201835,0.0839205662052056,6.127862230385918e-48,0.022222222222222223,0.47544603107779043,0,0.1865079365079365
0.06,59.786,7.496012540010817,39,89,8439376,1,1000,1000,0.32995329277721425,0,0.07775768535262206,0.045181130163081784,5.483344382643604e-15,0.00505902192242833,0.4141976902356206,0,0.07971014492753623
0.06,59.302,7.602683473616406,30,84,8516242,1,1000,1000,0.343458071079276,0,0.1539961013645224,0.06307981667615603,1.5607959920350635e-27,0.06859205776173286,0.4520619615985294,0,0.22821576763485477
0.06,60.416,7.52309404434107,33,87,8232336,1,1000,1000,0.32564877389130187,0,0.10420475319926874,0.06740776071873078,9.092106035622137e-32,0.037800687285223365,0.44105721708984025,0,0.16377649325626203
0.06,60.34,7.54137918420761,38,89,8229680,1,1000,1000,0.3378622820459736,0,0.10865561694290976,0.08834574536527373,2.4211570037367357e-53,0.018612521150592216,0.4640603910801772,0,0.08468468468468468
0.06,60.044,7.583275281829084,36,89,8358682,1,1000,1000,0.3452448931337394,0,0.08892921960072596,0.05900925618446995,1.4116557576404543e-24,0.022146507666098807,0.41333206442813963,0,0.11731843575418995
0.06,59.536,7.529986985380564,35,80,8478826,1,1000,1000,0.35541198756513964,0,0.1,0.11344637430250182,7.622790604245903e-86,0.02413793103448276,0.49939657953184247,0,0.15789473684210525
0.06,59.754,7.6628639554673095,33,86,8467556,1,1000,1000,0.34351080369926473,0,0.11819887429643527,0.08300329222553149,7.835539296582131e-47,0.03832752613240418,0.44057370901198606,0,0.11401869158878504
0.06,59.752,7.6681481467170425,39,85,8400590,1,1000,1000,0.3492486729731797,0,0.10575139146567718,0.07017938199624951,6.117226104864604e-34,0.015332197614991482,0.4416132432707228,0,0.07387387387387387
0.07,70.714,8.11715492029068,43,103,6615724,1,1000,1000,0.3169512325475733,0,0.12063492063492064,0.10793686070713471,4.224159945406485e-92,0.06325301204819277,0.1826999713737833,5.374442896542198e-263,0.3025830258302583
0.07,69.892,8.22789985354707,46,98,6671088,1,1000,1000,0.3066279606952055,0,0.11501597444089456,0.08164126225884982,9.353719309436272e-53,0.024963289280469897,0.2209212402016273,0,0.10094637223974763
0.07,69.948,7.726143669386426,45,98,6618688,1,1000,1000,0.29679316826571484,0,0.08553654743390357,0.10024106992564241,8.600726514474373e-79,0.02346041055718475,0.22046205353690515,0,0.13680781758957655
0.07,70.27,8.08053834840229,46,94,6639690,1,1000,1000,0.29579452715296006,0,0.07503828483920368,0.12238170508661228,2.5944926037032918e-117,0.02631578947368421,0.17202148789938934,1.7052119915964453e-231,0.08837209302325581
0.07,70.664,8.235356944298163,48,103,6646012,1,1000,1000,0.325260129859829,0,0.0696969696969697,0.12268414054314047,1.5450911627006333e-118,0.015827338129496403,0.2111329560016703,0,0.08116385911179173
0.07,70.636,8.150920438821618,43,95,6660738,1,1000,1000,0.3080798851758713,0,0.07951070336391437,0.10827697352508892,1.4231618321323731e-92,0.03519061583577713,0.20829411806919923,0,0.1332263242375602
0.07,69.728,7.968062248752832,44,94,6703196,1,1000,1000,0.30903210032594575,0,0.10126582278481013,0.12661756926226675,1.5094174709981463e-124,0.041916167664670656,0.24416267269313874,0,0.27007299270072993
0.07,70.048,8.232842522482734,46,99,6604980,1,1000,1000,0.3102622993281215,0,0.08527131782945736,0.09996240633502318,1.7961738415574278e-78,0.029411764705882353,0.1911029911773148,2.600000408527382e-285,0.13268608414239483
0.07,69.662,8.386999224991017,47,99,6762330,1,1000,1000,0.3138846481863695,0,0.049773755656108594,0.09534047277356017,3.886818126265428e-71,0.00723589001447178,0.2782730112360036,0,0.09433962264150944
0.07,69.858,8.287329847423726,44,100,6660448,1,1000,1000,0.31617888759892265,0,0.08722741433021806,0.08825407992866108,2.39508924632199e-61,0.03714710252600297,0.21040964766823436,0,0.15754560530679934
0.08,79.934,8.698830036274995,56,112,6601468,1,1000,1000,0.2557645221199146,0,0.0377113133940182,0.12274995904345387,5.697141160093249e-134,0.007575757575757576,-0.3402845147162909,0,0.028350515463917526
0.08,80.544,8.197198545844799,58,111,6608534,1,1000,1000,0.2609453708234791,0,0.050980392156862744,0.1190296065931552,5.549352587356732e-127,0.011320754716981131,-0.3546194574898966,0,0.0024937655860349127
0.08,79.182,8.496874484185337,50,104,6614878,1,1000,1000,0.276953801479572,0,0.07191316146540028,0.13441969052105607,5.29556093111187e-159,0.039473684210526314,-0.21770134808817113,0,0.05473965287049399
0.08,79.7,8.252151234678129,55,106,6591110,1,1000,1000,0.27861834898856175,0,0.048748353096179184,0.11875147294784305,4.321027832520224e-125,0.029754204398447608,-0.25652523915769665,0,0.029754204398447608
0.08,80.534,8.644700341827924,57,113,6654590,1,1000,1000,0.28263424602339393,0,0.053735255570117955,0.07646362137553953,2.7801690549552973e-53,0.010050251256281407,-0.3547285800630139,0,0.021601016518424398
0.08,79.074,8.40336385026854,51,105,6581394,1,1000,1000,0.27754677825900137,0,0.07191316146540028,0.10651585239137751,4.140672173066596e-100,0.039473684210526314,-0.24250990045005175,0,0.06182795698924731
0.08,79.564,8.661287664083208,55,112,6565098,1,1000,1000,0.26737271395307294,0,0.0488771466314399,0.11567434913048158,1.496285134574334e-118,0.017948717948717947,-0.31774675630642235,0,0.005063291139240506
0.08,79.348,8.547332683358007,57,106,6591432,1,1000,1000,0.2770629346682611,0,0.043478260869565216,0.11833985137927394,1.0802745683705496e-123,0.011494252873563218,-0.2597465017571518,0,0.0063532401524777635
0.08,79.616,8.384899760879682,56,106,6591156,1,1000,1000,0.2725714242213132,0,0.04461942257217848,0.10620271053660313,3.370961857847326e-100,0.011435832274459974,-0.31490582546421797,0,0.03780964797913951
0.08,79.262,8.664834447350954,52,110,6549728,1,1000,1000,0.2691127842594758,0,0.06594885598923284,0.12024579183844875,1.5450637973806412e-127,0.03800786369593709,-0.3223166730311652,0,0.10152990264255911
0.09,89.166,9.052206581823024,64,122,7526232,1,1000,1000,0.20810800275982289,0,0.024165707710011506,0.15270791178192722,9.322367806843541e-231,0.02534562211981567,-0.6810581284753336,0,0
0.09,90.554,8.787552787892674,61,118,7670146,1,1000,1000,0.2071685168544726,0,0.020316027088036117,0.16021619538348802,5.134346389408142e-258,0.0319634703196347,-0.7237400860392631,0,0
0.09,90.838,9.342363512516524,60,125,7740548,1,1000,1000,0.19900701735244022,0,0.015659955257270694,0.15452014591509122,1.1304087193805994e-240,0.027149321266968326,-0.7384249224027413,0,0.0011025358324145535
0.09,89.478,9.146010933734988,59,116,7536726,1,1000,1000,0.19357179066608973,0,0.03352601156069364,0.16699017647265202,4.059946034694846e-277,0.043173862310385065,-0.7135923595899594,0,0.027586206896551724
0.09,89.952,9.205525297341797,63,116,7622594,1,1000,1000,0.22368514757395613,0,0.020454545454545454,0.13247198018474737,3.5458050599936857e-175,0.01698754246885617,-0.708821421538382,0,0.0011148272017837235
0.09,90.438,8.888653216320233,68,124,7675318,1,1000,1000,0.21751636834577562,0,0.02262443438914027,0.1237416253864122,9.411974163390786e-154,0.015730337078651686,-0.7231434817914693,0,0
0.09,89.802,9.136235329718692,61,123,7599090,1,1000,1000,0.1912603577974511,0,0.03695150115473441,0.15436312009849962,1.8149543860749148e-237,0.04055619930475087,-0.710061725494034,0,0.0011148272017837235
0.09,90.728,9.170606086840717,60,127,7702908,1,1000,1000,0.1903445210872738,0,0.013422818791946308,0.15497885533778022,8.092493506723991e-242,0.037800687285223365,-0.7501080189608526,0,0
0.09,89.754,8.839201547651239,60,117,7593578,1,1000,1000,0.20822432652653466,0,0.012429378531073447,0.1477759373008256,1.780942293906939e-217,0.04065040650406504,-0.7000893755221811,0,0.0011173184357541898
0.09,90.03,9.016712261129328,63,126,7610762,1,1000,1000,0.22730574404168513,0,0.022727272727272728,0.10845557538365058,7.666938434023708e-118,0.026225769669327253,-0.7429815385712688,0,0
0.01,100.346,9.351592591639116,72,133,9172710,1,1000,1000,0.1812226319703806,0,0.007035175879396985,0.17698001609906688,0,0.022448979591836733,-0.8365506224841592,0,0
0.01,100.028,9.423439711697638,73,133,9122352,1,1000,1000,0.1738493606729171,0,0.005025125628140704,0.18432908751308594,0,0.02459016393442623,-0.8356745308221177,0,0
0.01,100.23,9.420674073546971,72,126,9161122,1,1000,1000,0.18557100103577093,0,0.007035175879396985,0.16913448618966553,3.100124e-318,0.0255885363357216,-0.8363654840482435,0,0
0.01,98.932,9.249290567389469,73,130,8950138,1,1000,1000,0.21667660562616203,0,0.014373716632443531,0.14112603292741255,2.1016879122768004e-218,0.02596053997923157,-0.8222894435849782,0,0
0.01,99.268,9.185650548545812,72,125,8997622,1,1000,1000,0.1868458049662971,0,0.005065856129685917,0.16068212047437352,2.7056587550948725e-284,0.031185031185031187,-0.8335926502914079,0,0
0.01,99.976,9.421858839952998,74,130,9117928,1,1000,1000,0.18372804996117453,0,0.00808080808080808,0.17111356744924158,0,0.013197969543147208,-0.8376910955207558,0,0
0.01,100.612,9.291579844138454,71,130,9218034,1,1000,1000,0.19648043389992337,0,0.00199203187250996,0.16338857765071066,5.834682978577703e-298,0.030737704918032786,-0.8354077222606976,0,0
0.01,99.5,9.166133317817279,72,130,9032892,1,1000,1000,0.20742914990056477,0,0.015321756894790603,0.14841364869799223,5.976163874601131e-243,0.017400204708290685,-0.8246880719591076,0,0
0.01,99.988,9.605615857403428,75,135,9123286,1,1000,1000,0.17221770752953056,0,0.00910010111223458,0.181753373132377,0,0.017329255861365953,-0.835003655006454,0,0
0.01,99.328,9.282048049864857,70,130,9013042,1,1000,1000,0.18477898262293538,0,0.004048582995951417,0.16311527013939808,3.391557085641556e-293,0.02268041237113402,-0.8316187356086241,0,0
0.02,198.904,12.88669018794198,164,246,31852810,1,1000,1000,0.3610298898706141,0,0.02632937532266391,0.309068205722302,0,0.026859504132231406,-0.7126100756745672,0,0
0.02,199.304,12.43863272228906,160,240,31968160,1,1000,1000,0.3758338058911368,0,0.02416452442159383,0.3129096299046683,0,0.034805194805194804,-0.6990818822488064,0,0
0.02,199.688,12.527037000025185,158,245,32073084,1,1000,1000,0.3839018557776359,0,0.03205791106514995,0.29834218311162664,0,0.035269709543568464,-0.7034364043351936,0,0
0.02,198.482,13.020740224733773,162,250,31735590,1,1000,1000,0.34181522766940414,0,0.02851218247796786,0.3266370534448666,0,0.031721268850754034,-0.7151779243115473,0,0
0.02,200.11,12.387086017300446,163,237,32181900,1,1000,1000,0.37331734989367604,0,0.02880658436213992,0.31688430370087617,0,0.027221366204417053,-0.6985578339103335,0,0
0.02,199.796,12.254647444949212,158,236,32091946,1,1000,1000,0.39779578206666893,0,0.03958333333333333,0.29357267980445245,0,0.040125065138092754,-0.6954998039449041,0,0
0.02,200.994,12.533713097083398,161,242,32442054,1,1000,1000,0.38802502986076176,0,0.036654620547238,0.2989895952806183,0,0.034518289541473464,-0.6993694732886218,0,0
0.02,199.006,12.72752780393741,157,247,31886734,1,1000,1000,0.3657531551565177,0,0.034303534303534305,0.3065181009236686,0,0.028423772609819122,-0.7118601031317496,0,0
0.02,199.234,13.29072022126718,161,237,31953006,1,1000,1000,0.3311823513506415,0,0.025218733916623777,0.3264949664318585,0,0.03265940902021773,-0.7242733765307972,0,0
0.02,199.434,12.857824232738604,144,241,31996334,1,1000,1000,0.35800779058736565,0,0.027835051546391754,0.31582818704202353,0,0.08017334777898158,-0.709968581311589,0,0
0.05,499.884,15.561058575816714,441,557,125223072,1,1000,1000,0.8063863790351323,0,0.2516904583020286,0.547891209827208,0,0.10795832409665262,-0.0033170290992517123,0.0972532131333167,0.0044212218649517685
0.05,500.314,15.931710642614608,443,549,125327822,1,1000,1000,0.7993139113228532,0,0.23996033713435796,0.5606032690434193,0,0.10127697049757815,-0.0002312856345870827,0.9079073091233525,0.005831490046249749
0.05,498.91,15.786953474309088,455,554,124976794,1,1000,1000,0.8016116747082757,0,0.25106596438424883,0.5573632216590749,0,0.08129200086711467,-0.0018971405455746777,0.34336782345416506,0.0036217303822937627
0.05,500.434,15.74819494418328,446,561,125345636,1,1000,1000,0.8046597690813865,0,0.22048780487804878,0.5581281654567118,0,0.100990099009901,0.005890090519637392,0.0032156500107093948,0.0032076984763432237
0.05,499.572,15.582965571417953,453,544,125144100,1,1000,1000,0.8075702901808639,0,0.24725274725274726,0.5545555125326893,0,0.08896641953772351,0.005036183320485025,0.011835310152983057,0.0068548387096774195
0.05,498.946,15.738141059222977,450,546,124984280,1,1000,1000,0.8036107461433198,0,0.2371031746031746,0.5584277822017014,0,0.09290096406660824,0.003851767351845729,0.05437336049376776,0.0022101667671287923
0.05,499.244,15.956580586077964,448,548,125075394,1,1000,1000,0.7996533369422947,0,0.2377882469625589,0.562417334734594,0,0.0906707450294953,0.001965385628018819,0.326126625435461,0.004022526146419952
0.05,499.302,15.733937714380328,452,545,125071978,1,1000,1000,0.8034568075443359,0,0.23840238154304144,0.5557592575543875,0,0.08592560365455731,0.0010813101316927063,0.5890073900828596,0.005438066465256798
0.05,498.62,15.763362585438427,453,548,124901758,1,1000,1000,0.8030488544572192,0,0.23354774863928748,0.5602885728493262,0,0.09174512809283994,0.005071067443885722,0.011340239586813457,0.004229607250755287
0.05,500.712,15.304020909551847,448,549,125431326,1,1000,1000,0.8129265977769816,0,0.2622289460413515,0.5459271897482864,0,0.08731537793223285,0.004021229750880789,0.04421529774943542,0.0036086607858861267
