Closeness
;Closeless;Further BFS;Random
nSamples;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%
1;NaN;0.004451147810011721;0.34987668876201944;0.03087801715068265;0.1066797001718744;NaN;0.004369106195052224;0.3455364773678594;0.02569513999829871;0.10194656064264793;NaN;0.004481091921421193;0.35402271236676863;0.02878445058136123;0.11038629853580312;
2;0.003951424155942533;0.0009339731403457821;0.4538268244440832;0.05664618499226486;0.15235246266831623;0.0039060350886531165;0.0009362634026094063;0.45792433439401115;0.05633746447124965;0.1517253852756184;0.0013813034090607455;0.0013127483676519417;0.4593079667482984;0.0556236073307018;0.13750030629602317;
3;0.003329284790879218;0.0006734894494938102;0.5413938606735952;0.0973793206870486;0.19830561965612453;0.0026256383340178295;0.0005777070367397535;0.5451912381864005;0.09284541660634307;0.20094050713706782;0.0031832057571995805;0.0008945076895646491;0.5067076331992543;0.07545032655973737;0.16143356230534783;
4;0.002771636680586743;0.0005270559213039341;0.599456595681357;0.12716938631599026;0.2472149427106209;0.002300975145560907;0.0004191076171658804;0.6084344782175433;0.12696671061704365;0.24455052876106112;0.000537649806256817;0.0005120498315728943;0.5654576651460771;0.10176218963466699;0.19814841651519083;
5;0.0024957163586490703;0.000505941209591089;0.6248840755291576;0.1566302447501144;0.2715352444334058;0.0020414613384989524;0.0004433220222695116;0.6423327098005347;0.13866729549675633;0.27724744167335036;0.0005521597009016453;0.0004186734783358526;0.6251668289265522;0.13165772228514458;0.24264236838376219;
6;0.002124804416347789;0.0005279438977372824;0.6693327584052804;0.1882214178313674;0.31992545657538596;0.00193437388045666;0.0003906649105534896;0.6808436362268858;0.18299710538569866;0.31450094192158307;0.00036170047752803215;0.0003551737428447466;0.6292170620294966;0.1313563604054286;0.24806012071429867;
7;0.002000950201970371;0.0005598447691747004;0.7054658658872957;0.21071500974674884;0.3565395244031414;0.001692103577726358;0.00044200584861965543;0.7028054548687516;0.20007590863599747;0.33315849471869463;0.0002628389342172149;0.0002830490074237277;0.6791406998479559;0.1805408855361862;0.2820894050420908;
8;0.0019158036327753527;0.0005512068726848823;0.7175858419345662;0.20856010205064915;0.37652825318045563;0.001495010902002357;0.00040199043758064887;0.7289616090272073;0.22293139160612133;0.36909606439688486;0.00032248730520110857;0.00028277282854510425;0.6980662558370856;0.1772935339593172;0.3149966318019452;
9;0.001679072283698325;0.0005702953034878319;0.7315603469866248;0.2265181956039107;0.40951211252568936;0.0014605105837917976;0.0003713123285316013;0.7528957113942186;0.22733324539106506;0.3962134800188165;0.00022957829780160136;0.000214648381057797;0.7163268584783024;0.19403728689610572;0.32968753100468984;
10;0.0016432810296714692;0.0005553988166772191;0.7628278102109695;0.24791809742996207;0.4306753287114589;0.0012792995703354588;0.00036775098023523626;0.7743505261682839;0.23517799333976372;0.4143051182841406;0.0002175408890290628;0.0001963436210268944;0.743774472445713;0.22476276972855086;0.3499199842133689;
11;0.0015350729698595394;0.0006046400817517672;0.767070628806589;0.2653524032250758;0.44552961114904766;0.0010875598684074819;0.00035796513338121153;0.788968299920109;0.24428261292167178;0.4394823000923209;0.0002528324622638416;0.00019059912951393135;0.758539315947301;0.21516095011089326;0.37680164002900324;
12;0.001451544526077147;0.0005924211569612047;0.7893467315206333;0.273464946662806;0.46872315228664363;0.0010350078588215624;0.0003789830825423676;0.7942961085284246;0.27199370580230103;0.44109342499675974;0.00022311181307690318;0.00019030575178601646;0.7710875334388811;0.24442030733368422;0.38407653774303835;
13;0.0013846077791812772;0.0005801590068266345;0.7995639184823791;0.2944492490599967;0.4755015752642424;0.0008102805550417526;0.00028393353791708825;0.8080122594026891;0.296193036266565;0.45813690201394736;0.00022151551359423798;0.00016384868003616922;0.7735941830858628;0.2316074520156839;0.37974520176492477;
14;0.001330351750574335;0.0006261181596498572;0.8016309135034617;0.29473257901579164;0.48586670243505026;0.000816445742314079;0.0003282407904621915;0.8211940182613163;0.26701317125502216;0.4772027024988623;0.00015492415400784445;0.00015972356466509933;0.7830330114762236;0.25449785827811655;0.4009991373640754;
15;0.0012484292553710786;0.0006593823998164131;0.8038995363246023;0.2983813513740971;0.4881587991517991;0.0006903282036011488;0.0002689553624322709;0.8302145663427857;0.2879276880875627;0.48155302543030964;0.00015124834999512464;0.00014098175784719872;0.7955338292421242;0.25498429407194334;0.4129964296480782;
16;0.0011989272779259017;0.0006138580766827039;0.8203815111457522;0.3250069872599848;0.503765574270331;0.0006570868916007379;0.00025735346553109944;0.8420392214072769;0.325308231020379;0.5071272718670015;0.00013223966037914645;0.0001276693432559784;0.8069848636645918;0.2681496002304284;0.43293538921605046;
17;0.0011754144413834663;0.0006252581587467848;0.828337839823591;0.3354295740825233;0.5219530618188246;0.0006119691121087957;0.00025624292667315624;0.8464490157069312;0.31332718503142315;0.5027539140372572;0.0001268066222946595;0.00012073767535494603;0.8211234083280463;0.2963776185220988;0.43927744132553653;
18;0.0011464110034476182;0.0006302747821832698;0.8383469405890495;0.3549296151492407;0.5369806678479532;0.0005891824380549655;0.0002543454776048279;0.8491796929446513;0.32994185852043284;0.5118827737017739;0.00013492018767361638;0.00011388986759888688;0.8159781137342123;0.2887475576493197;0.4477849773539671;
19;0.0011130065992681153;0.0006215573102434147;0.8478770182293811;0.37358952848807186;0.547666367406861;0.0005615143908918193;0.00024809059254608286;0.8620524026824251;0.340292674540794;0.5284722697358838;0.00011563795241865918;0.00011682715348976476;0.8273184928839853;0.3080736866187672;0.45702942726939055;
20;0.001064168010298653;0.0006345864326747036;0.8482374859889003;0.3575568351427108;0.5520780329828716;0.0005602902139532658;0.000253110360764253;0.8645827264235664;0.34373120685852326;0.52254028818193;0.0001066191632443804;0.00010922110528322528;0.8356721564075464;0.30906264621798;0.4685296463610332;
21;0.0010302433314553238;0.0006432838928358657;0.8565777965180973;0.3916527788731358;0.5605735785512032;0.0005437363687634855;0.0002483727439488679;0.8766395630656321;0.37903904791946325;0.537687478148397;0.00010895529077383287;9.376432253856895e-05;0.8426284264351659;0.30221156848109226;0.4777918905855374;
22;0.001014280666740632;0.0006447449253288418;0.8540282139849136;0.3638455206324148;0.5517263938250633;0.000505238648808603;0.0002435431036159869;0.8771123240429602;0.3859936162720088;0.5458323621263477;9.624903146185769e-05;9.301040170095145e-05;0.8472220581726364;0.28651678236904216;0.4893733065770418;
23;0.0009786821117364548;0.0006696751632491639;0.858673389313365;0.3850065740174457;0.5616718749176492;0.0004810725453887991;0.00023167552750582006;0.8849891418584497;0.36144986640010157;0.560207176732944;0.00010516391158838163;9.042492390523225e-05;0.8519191848647948;0.34704581571010007;0.49251260491307775;
25;0.0009498306195738302;0.0006385689369288168;0.872594948905997;0.3954953333960246;0.5830814024228442;0.0004792240090587091;0.00022290229988130555;0.8936717054681952;0.39607541765011917;0.572216844188137;7.32417919714178e-05;7.505271496365912e-05;0.8707047645321265;0.35621533905198294;0.5151759668813356;
26;0.0009145254300362096;0.0006644512023853179;0.8724024657833033;0.42199280119001054;0.5920048825908311;0.0004543796688803766;0.0002542616021426631;0.8884330651636138;0.3873835092657924;0.5681062476120281;8.28497332361144e-05;7.798045541053338e-05;0.8692096149884064;0.34247280563456983;0.5207180467228094;
27;0.0008864194857372325;0.0006871972426414003;0.8736710672695085;0.39931937162603887;0.5905830928862468;0.0004316911291080346;0.00022715382556095164;0.8983931161797151;0.41011481834709224;0.5867623393785915;8.549885967336133e-05;7.590782170009207e-05;0.8693242568619617;0.3635281704774283;0.5168083598696616;
