Closeless;Further BFS;Random
nSamples;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%
1;9.35;0.408525;0.02522032405752824;0.16936863805070507;0.3385094654360726;9.35;0.4164;0.03034815755708328;0.1132300307372677;0.3461907994227666;9;0.417425;0.027717057253146077;0.11395398703545885;0.34700596227285163;
2;5.025000000000001;0.127875;0.021845400800577862;0.1002911091473028;0.1002911091473028;0.05;0.1352;0.023736221154528645;0.10771233500089882;0.10771233500089882;0.49999999999999994;0.1372125;0.02487786715926948;0.1095683229601162;0.1095683229601162;
3;3.483333333333332;0.05821250000000001;0.021976952615675786;0.03282880049228862;0.9748841043223012;0.05;0.0593;0.021130103301522134;0.03398390834174379;0.9748475237618808;0.18333333333333335;0.06671250000000001;0.01832027892368005;0.04098749022100896;0.8825531642912757;
4;2.5249999999999995;0.036112500000000006;0.021552565782003215;0.4461843868666324;0.9748597233818309;0;0.037512500000000004;0.013479833815050407;0.35054848983302755;0.9747499999999999;0.037500000000000006;0.038825;0.013138612872892759;0.15832795959832366;0.9747743809404701;
5;1.8400000000000005;0.028774999999999995;0.021369981256863735;0.9748597233818309;0.9748597233818309;0.01;0.029025000000000006;0.008559573355432207;0.9747743809404701;0.9747743809404701;0.04;0.030100000000000005;0.01818275616480034;0.9748353424413606;0.9748353424413606;
6;1.533333333333333;0.0263125;0.024815556792594902;0.9748597233818308;0.9748597233818308;0.008333333333333333;0.026374999999999996;NaN;0.9747865805604201;0.9747865805604201;0.025;0.026699999999999995;NaN;0.9747987618809404;0.9747987618809404;
7;1.292857142857143;0.025537499999999994;NaN;0.9747743809404701;0.9747743809404701;0.02142857142857143;0.025499999999999995;NaN;0.9748231428214107;0.9748231428214107;0.02857142857142857;0.025862499999999993;NaN;0.9748475237618808;0.9748475237618808;
8;1.15625;0.025299999999999993;NaN;0.9748841043223012;0.9748841043223012;0.03125;0.025137499999999993;NaN;0.974920739835992;0.974920739835992;0.018750000000000003;0.025437499999999995;NaN;0.9748353668467065;0.9748353668467065;
9;1.1;0.024912500000000004;NaN;0.9751036121130718;0.9751036121130718;0.02222222222222222;0.025199999999999997;NaN;0.9748475237618809;0.9748475237618809;0.027777777777777776;0.025262499999999997;NaN;0.9748719047023511;0.9748719047023511;
10;1.02;0.024949999999999996;NaN;0.9750548319327014;0.9750548319327014;0.04;0.025049999999999996;NaN;0.9749450963344533;0.9749450963344533;0.02;0.02515;NaN;0.9748475237618809;0.9748475237618809;
11;0.9090909090909088;0.025037499999999997;NaN;0.9749695200163624;0.9749695200163624;0.040909090909090916;0.024937499999999998;NaN;0.9750548502321312;0.9750548502321312;0.022727272727272728;0.025175;NaN;0.9748841043223011;0.9748841043223011;
12;0.7999999999999998;0.024925;NaN;0.9750670742895051;0.9750670742895051;0.029166666666666667;0.02505;NaN;0.9749450719291076;0.9749450719291076;0.016666666666666666;0.025175;NaN;0.9748475237618809;0.9748475237618809;
13;0.7730769230769229;0.02485;NaN;0.9751402231847538;0.9751402231847538;0.038461538461538464;0.0249625;NaN;0.9750304692916612;0.9750304692916612;0.038461538461538464;0.024974999999999997;NaN;0.975018281888128;0.975018281888128;
14;0.7214285714285714;0.024812499999999998;NaN;0.9751769930974912;0.9751769930974912;0.06785714285714287;0.0247125;NaN;0.9752744068702565;0.9752744068702565;0.03928571428571429;0.024949999999999996;NaN;0.9750426689436889;0.9750426689436889;
15;0.6666666666666666;0.024862499999999996;NaN;0.9751280174588879;0.9751280174588879;0.07666666666666667;0.024587499999999998;NaN;0.9753965008240462;0.9753965008240462;0.009999999999999998;0.025162499999999997;NaN;0.9748353424413606;0.9748353424413606;
16;0.590625;0.025012499999999993;NaN;0.9749816280841821;0.9749816280841821;0.06250000000000001;0.0247375;NaN;0.97525003819664;0.97525003819664;0.024999999999999998;0.025049999999999996;NaN;0.9749450475237618;0.9749450475237618;
17;0.6235294117647059;0.024712500000000005;NaN;0.9752744252751641;0.9752744252751641;0.06470588235294117;0.024674999999999996;NaN;0.9753110117947745;0.9753110117947745;0.023529411764705882;0.0250125;NaN;0.9749816524895277;0.9749816524895277;
18;0.5944444444444446;0.024625000000000005;NaN;0.9753597920118079;0.9753597920118079;0.05277777777777778;0.024725;NaN;0.9752622927286081;0.9752622927286081;0.025;0.025025;NaN;0.974969428464232;0.974969428464232;
19;0.5421052631578945;0.0247125;NaN;0.9752744373815183;0.9752744373815183;0.06315789473684212;0.024487499999999995;NaN;0.9754943180603374;0.9754943180603374;0.026315789473684213;0.0249625;NaN;0.9750304876231688;0.9750304876231688;
20;0.5550000000000002;0.024449999999999996;NaN;0.9755306844683009;0.9755306844683009;0.06250000000000001;0.0245875;NaN;0.9753965377119924;0.9753965377119924;0.02;0.025024999999999995;NaN;0.9749694711690078;0.9749694711690078;
21;0.5476190476190477;0.0244125;NaN;0.9755674727905584;0.9755674727905584;0.06666666666666667;0.024475;NaN;0.9755066092689382;0.9755066092689382;0.023809523809523805;0.024999999999999998;NaN;0.974993833810048;0.974993833810048;
22;0.5159090909090909;0.024237499999999995;NaN;0.975738555123016;0.975738555123016;0.052272727272727276;0.024599999999999997;NaN;0.9753843379314239;0.9753843379314239;0.03181818181818182;0.0249;NaN;0.9750914307879665;0.9750914307879665;
23;0.508695652173913;0.024287499999999997;NaN;0.9756894935422179;0.9756894935422179;0.06739130434782609;0.02435;NaN;0.9756284588987814;0.9756284588987814;0.026086956521739132;0.024924999999999996;NaN;0.9750670193362345;0.9750670193362345;
25;0.4480000000000002;0.0242;NaN;0.9757749520969183;0.9757749520969183;0.05200000000000001;0.024487500000000002;NaN;0.9754942996782316;0.9754942996782316;0.018000000000000002;0.024999999999999998;NaN;0.9749938277041321;0.9749938277041321;
26;0.47307692307692306;0.023962499999999998;NaN;0.9760071607624891;0.9760071607624891;0.03461538461538462;0.02475;NaN;0.9752377469466347;0.9752377469466347;0.015384615384615385;0.0250125;NaN;0.9749816891112906;0.9749816891112906;
27;0.4277777777777777;0.024212499999999994;NaN;0.9757626790912335;0.9757626790912335;0.04814814814814815;0.0245375;NaN;0.9754453420681888;0.9754453420681888;0.018518518518518517;0.024974999999999997;NaN;0.975018257455294;0.975018257455294;
28;0.4910714285714285;0.0236125;NaN;0.9763493617323219;0.9763493617323219;0.05357142857142858;0.024449999999999993;NaN;0.9755306478648422;0.9755306478648422;0.02678571428571429;0.024849999999999997;NaN;0.9751402109958249;0.9751402109958249;
30;0.43666666666666676;0.023449999999999995;NaN;0.976508476984816;0.976508476984816;0.07499999999999998;0.023937499999999994;NaN;0.9760317859992155;0.9760317859992155;0.03333333333333333;0.0247375;NaN;0.9752500137454472;0.9752500137454472;
31;0.4161290322580645;0.0234375;0.259614899990934;0.9765204010981249;0.9765204010981249;0.06451612903225808;0.024;NaN;0.9759708988598457;0.9759708988598457;0.0370967741935484;0.0246125;NaN;0.9753720649119465;0.9753720649119465;
33;0.41666666666666663;0.023575;0.24667933927588725;0.9763860463780665;0.9763860463780665;0.05151515151515152;0.024287500000000007;NaN;0.9756892918357128;0.9756892918357128;0.015151515151515148;0.024949999999999996;NaN;0.975042760569219;0.975042760569219;
34;0.39705882352941174;0.0233;0.2685947901479925;0.9766550929264737;0.9766550929264737;0.05294117647058823;0.0243;NaN;0.9756771900526858;0.9756771900526858;0.01911764705882353;0.0249125;NaN;0.9750792372785175;0.9750792372785175;
36;0.3625;0.023524999999999997;NaN;0.9764356043315289;0.9764356043315289;0.0375;0.0245625;NaN;0.9754207901665393;0.9754207901665393;0.019444444444444438;0.0249;NaN;0.9750914551933123;0.9750914551933123;
38;0.37763157894736843;0.022587499999999996;0.3122971396920645;0.9773534854786613;0.9773534854786613;0.05921052631578947;0.023975000000000003;NaN;0.9759949486687731;0.9759949486687731;0.02105263157894737;0.0248125;NaN;0.9751767976346728;0.9751767976346728;
39;0.36025641025641025;0.022949999999999998;0.28989900321487444;0.9769980662398337;0.9769980662398337;0.04487179487179487;0.024287499999999997;NaN;0.975689340715145;0.975689340715145;0.028205128205128202;0.0246;NaN;0.9753843439455352;0.9753843439455352;
41;0.35975609756097565;0.022650000000000003;0.30952167299540645;0.9772921997672013;0.9772921997672013;0.05000000000000002;0.024049999999999995;NaN;0.9759215796805263;0.9759215796805263;0.030487804878048783;0.024537499999999993;NaN;0.9754452993267495;0.9754452993267495;
